44713,2017-11-21T02:05:41.000-02:00,40,1.0
12714,2017-11-21T02:04:53.000-02:00,30,45.0
22012,2017-11-21T02:05:00.000-02:00,38,27.0
87584,2017-11-21T02:07:36.000-02:00,11,21.0
22012,2017-11-21T01:58:55.000-02:00,38,43.0
12707,2017-11-21T00:00:46.000-02:00,51,47.0
87579,2017-11-21T00:27:20.000-02:00,17,65.0
86800,2017-11-21T01:29:00.000-02:00,10,48.0
22003,2017-11-21T00:14:01.000-02:00,51,59.0
50310,2017-11-21T00:48:39.000-02:00,51,26.0
44739,2017-11-21T00:09:41.000-02:00,36,10.0
87584,2017-11-21T00:49:15.000-02:00,11,41.0
86883,2017-11-21T01:22:58.000-02:00,10,59.0
30531,2017-11-21T01:02:34.000-02:00,30,44.0
22003,2017-11-21T00:19:03.000-02:00,51,47.0
47004,2017-11-21T01:14:45.000-02:00,11,32.0
86800,2017-11-21T01:10:54.000-02:00,10,40.0
