codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.999981666666667,0.0,0.0,-43.58139166666667,,0.0,,1.511255837E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.830978333333338,4056.0,355A1,-43.323388333333334,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511255925E12
82536,-22.916743333333336,0.0,0.0,-43.43266833333334,,0.3704,,1.511255508E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.961551666666665,226.0,855A1,-43.611656666666676,ida,27.2244,855A1 - BANGU X MAGARÇA,1.511256057E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.963700000000003,236.0,890A1,-43.35730999999999,ida,0.0,890A1 - TANQUE X TERMINAL ALVORADA,1.511256044E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-22.99469,0.0,0.0,-43.393764,,0.0,,1.511255906E12
30502,-23.006973333333335,3626.0,18,-43.312725,ida,0.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511256054E12
12734,-22.980248333333332,3552.0,5850A1,-43.40929333333333,volta,38.0,51 - Vila Militar x T. Recreio (Parador),1.511256057E12
86861,-23.008438333333334,112.0,5802A1,-43.44305666666666,ida,16.0,13 - MATO ALTO X ALVORADA ( EXPRESSO ),1.511256068E12
50035,-22.918908333333334,0.0,0.0,-43.39477333333334,,50.7448,,1.511255657E12
47884,-22.878798333333332,117.0,610A1,-43.27222333333332,volta,0.0,610A1 - DEL CASTILHO X BRT TANQUE,1.511256054E12
22024,-23.006911666666667,4808.0,25,-43.31350833333333,volta,0.0,25 - J.OCEÂNICO X MATO ALTO,1.511256054E12
22058,-23.00838666666667,3900.0,827A1,-43.438976666666655,ida,24.6316,827A1 - RECREIO X VARGEM GRANDE,1.511256069E12
87562,-22.96876333333333,106.0,5800A1,-43.62257,ida,30.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511256063E12
L 200 KXB-8909,-23.017597,0.0,0.0,-43.480819,,58.0,,1.511256052E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.003938333333334,121.0,5801A1,-43.42741,volta,50.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.511256067E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511256056E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.966875,3552.0,5850A1,-43.39719,volta,11.0,51 - Vila Militar x T. Recreio (Parador),1.511256051E12
86850,-22.90302833333333,132.0,5805A1,-43.56328666666667,ida,47.0,17- CAMPO GRANDE X SANTA CRUZ ( PARADOR ),1.511256064E12
75629,-22.84046,4054.0,928A1,-43.31298999999999,ida,10.5564,928A1 - RAMOS X MARECHAL HERMES (CIRCULAR),1.511256053E12
86805,-23.013681666666667,0.0,0.0,-43.46353333333333,,4.0,,1.511256053E12
30187,-22.948718333333332,0.0,0.0,-43.34820333333334,,0.0,,1.511256052E12
50007,-22.96741666666667,0.0,0.0,-43.278335,,25.7428,,1.510748781E12
86347,-22.895776666666666,210.0,853V1,-43.533269999999995,ida,0.0,853V1 - VILA KENNEDY X MATO ALTO,1.510747718E12
47022,-23.00941,3627.0,18,-43.44771,volta,0.0,18 - JARDIM OCEÂNICO X RECREIO SHOPPING ( EXPRESSO ),1.511256055E12
86801,-23.020915,113.0,5802A1,-43.494326666666666,volta,59.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.51125605E12
807925,-22.975271666666668,0.0,0.0,-43.36711,,0.0,,1.503587722E12
854296,-22.975238333333333,0.0,0.0,-43.36714,,0.0,,1.503350913E12
10016,-22.81049666666667,0.0,0.0,-43.216291666666685,,64.4496,,1.511256051E12
30536,-22.88858,147.0,5704A1,-43.34597,volta,58.0,36 - ALVORADA X FUNDÃO ( EXPRESSO ),1.511256055E12
816633,-22.975118333333334,0.0,0.0,-43.36707666666667,,0.0,,1.503069023E12
