codigo,latitude,id_migracao_trajeto,linha,longitude,sentido,velocidade,trajeto,datahora
87577,-22.920583333333333,106.0,5800A1,-43.60793666666667,ida,0.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511262714E12
47518,-22.95184,191.0,702A1,-43.34989666666667,ida,0.0,702A1 - PRAÇA SECA X MADUREIRA,1.5014009E12
47482,-23.011698333333335,0.0,0.0,-43.31022333333333,,42.9664,,1.509701157E12
833214,-22.975303333333333,0.0,0.0,-43.367126666666664,,0.0,,1.503332311E12
86810,-23.000918333333335,128.0,5804A1,-43.36749,ida,0.0,15 - PACIÊNCIA X SALVADOR ALLENDE ( EXPRESSO ),1.510336702E12
75637,-22.83971,4056.0,355A1,-43.296373333333335,ida,1.4816,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511262869E12
82536,-22.91564,0.0,0.0,-43.42633166666668,,12.964,,1.51126263E12
39509,-22.965030000000002,0.0,0.0,-43.39179833333334,,0.0,,1.500741702E12
86309,-22.89027,226.0,855A1,-43.525245,ida,3.8892,855A1 - BANGU X MAGARÇA,1.511262903E12
44736,-22.999878333333335,3816.0,40,-43.360148333333335,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.510693387E12
22064,-22.928611666666665,236.0,890A1,-43.35613666666668,ida,0.1852,890A1 - TANQUE X TERMINAL ALVORADA,1.511262676E12
39828,-23.000743333333332,3495.0,076,-43.36636,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.497879589E12
MK012 -LMB2681,-23.000083,0.0,0.0,-43.400508,,57.0,,1.511262885E12
30502,-23.000938333333334,3627.0,18,-43.36517,volta,0.0,18 - JARDIM OCEÂNICO X RECREIO SHOPPING ( EXPRESSO ),1.511262094E12
12734,-23.008871666666668,3551.0,5850A1,-43.44032333333333,ida,0.0,51 - T. Recreio x Vila Militar (Parador),1.511262898E12
86861,-23.000903333333333,113.0,5802A1,-43.367175,volta,0.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.5112629E12
50035,-22.91560833333333,0.0,0.0,-43.41608499999999,,19.0756,,1.511262906E12
47884,-22.87952833333333,116.0,610A1,-43.27170833333333,ida,0.1852,610A1 - BRT TANQUE X DEL CASTILHO,1.51126289E12
22024,-23.001271666666668,4807.0,25,-43.365941666666664,ida,0.0,25 - MATO ALTO X J.OCEÂNICO,1.511262905E12
22058,-23.00475333333333,3900.0,827A1,-43.434899999999985,ida,47.9668,827A1 - RECREIO X VARGEM GRANDE,1.511262885E12
87562,-23.00073,107.0,5800A1,-43.36586833333333,volta,0.0,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),1.51126255E12
L 200 KXB-8909,-23.000949,0.0,0.0,-43.36378,,11.0,,1.511262902E12
39583,-22.97523166666667,0.0,0.0,-43.36748333333335,,0.5556,,1.494010977E12
86874,-23.002178333333333,121.0,5801A1,-43.366929999999996,volta,0.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.511262332E12
27177,-22.839341666666666,0.0,0.0,-43.239855,,0.0,,1.511262896E12
816820,-22.975295,0.0,0.0,-43.367075,,0.0,,1.503332116E12
12732,-22.957941666666667,3551.0,5850A1,-43.380845,ida,55.0,51 - T. Recreio x Vila Militar (Parador),1.5112629E12
86850,-22.915955,132.0,5805A1,-43.609276666666666,ida,51.0,17- CAMPO GRANDE X SANTA CRUZ ( PARADOR ),1.511262902E12
75629,-22.849499999999995,4054.0,928A1,-43.320960000000014,ida,2.778,928A1 - RAMOS X MARECHAL HERMES (CIRCULAR),1.511262897E12
86805,-23.000988333333332,121.0,5801A1,-43.365188333333336,volta,33.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.511262905E12
30187,-23.001843333333333,0.0,0.0,-43.32668999999999,,36.114,,1.511262894E12
50007,-22.96741666666667,0.0,0.0,-43.278335,,25.7428,,1.510748781E12
86347,-22.895776666666666,210.0,853V1,-43.533269999999995,ida,0.0,853V1 - VILA KENNEDY X MATO ALTO,1.510747718E12
47022,-23.01922666666667,3626.0,18,-43.50557,ida,0.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511262897E12
86801,-23.01539,113.0,5802A1,-43.52229833333333,volta,62.0,13- ALVORADA X  MATO ALTO ( EXPRESSO ),1.511261744E12
807925,-22.975271666666668,0.0,0.0,-43.36711,,0.0,,1.503587722E12
854296,-22.975238333333333,0.0,0.0,-43.36714,,0.0,,1.503350913E12
10016,-22.839823333333335,0.0,0.0,-43.23929666666666,,13.1492,,1.511262885E12
30536,-22.955435,146.0,5704A1,-43.37772,ida,36.0,36 - FUNDÃO X ALVORADA ( EXPRESSO ),1.511262909E12
816633,-22.975118333333334,0.0,0.0,-43.36707666666667,,0.0,,1.503069023E12
22005,-23.014381666666665,4809.0,21A,-43.46641,ida,0.0,21A - RECREIO SHOPPING X JO (PARADOR),1.511262894E12
86845,-22.982325,0.0,0.0,-43.609415,,60.0,,1.511262236E12
86859,-23.006725,0.0,0.0,-43.313295,,0.0,,1.511262899E12
816748,-22.97536,0.0,0.0,-43.36712833333333,,0.0,,1.503507623E12
53665,-22.88426166666666,0.0,0.0,-43.49488833333333,,1.2964,,1.492602669E12
13405,-22.962888333333332,3543.0,5707A1,-43.39351833333333,volta,33.0,41 - Terminal Madureira x Terminal Recreio  (Expresso),1.511262902E12
13423,-22.87963166666667,3551.0,5850A1,-43.3571,ida,0.0,51 - T. Recreio x Vila Militar (Parador),1.511100039E12
856398,-22.97531,0.0,0.0,-43.367113333333336,,0.0,,1.502981431E12
87567,-23.000743333333332,129.0,5804A1,-43.366011666666665,volta,0.0,15 - SALVADOR ALLENDE X PACIÊNCIA ( EXPRESSO ),1.511262216E12
86831,-22.968278333333334,121.0,5801A1,-43.62009166666667,volta,55.0,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),1.51126291E12
12717,-22.971448333333335,3552.0,5850A1,-43.401401666666665,volta,40.0,51 - Vila Militar x T. Recreio (Parador),1.511262787E12
30045,-22.871706666666668,4331.0,000,-43.25897000000001,ida,0.0,SEM SERVIÇO - IDA,1.511262897E12
12710,-22.973338333333334,150.0,5703A1,-43.37321,ida,54.0,33- PENHA X SANTA EFIGÊNIA ( EXPRESSO ),1.511262905E12
86150,-22.855390000000003,392.0,916A1,-43.26424666666665,ida,25.7428,916A1 - MADUREIRA - BONSUCESSO,1.511262901E12
82526,-22.86831833333333,0.0,0.0,-43.36581833333333,,37.5956,,1.505118733E12
75508,-22.830795,0.0,0.0,-43.32400166666666,,0.0,,1.509758134E12
366898,-23.19164166666667,0.0,0.0,-45.879981666666666,,0.0,,1.504703359E12
50307,-22.850898333333333,4050.0,42,-43.263645,volta,0.0,42 -  DIVINA PROVIDÊNCIA X FUNDÃO(PARADOR),1.511262908E12
86864,-23.008431666666667,3626.0,18,-43.443068333333336,ida,0.0,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),1.511262908E12
86833,-22.907038333333333,133.0,5805A1,-43.561255,volta,39.0,17- SANTA CRUZ X CAMPO GRANDE ( PARADOR ),1.511262905E12
53525,-22.964019999999998,280.0,SR870A,-43.70350833333334,volta,13.7048,SR 870A - SANTA CRUZ X SEPETIBA,1.511262885E12
87558,-22.804603333333333,122.0,5808A1,-43.306405,ida,0.0,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),1.510005758E12
30358,-22.928134999999997,231.0,882A1,-43.35513000000001,volta,1.4816,882A1 - ALVORADA X TANQUE,1.511262908E12
75625,-22.83114666666667,4056.0,355A1,-43.32404833333333,ida,0.926,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.511260077E12
39808,-22.96514833333333,3495.0,076,-43.39156833333333,unico,0.0,TERMINAL JARDIM OCEÂNICO X CENTRAL ( NOTURNO ),1.496084179E12
47498,-22.984846666666666,0.0,0.0,-43.219441666666654,,3.3336,,1.511262906E12
82600,-22.857888333333335,0.0,0.0,-43.37149333333333,,0.0,,1.511262913E12
27212,-23.006678333333333,3816.0,40,-43.313831666666665,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.503082642E12
75556,-22.83093666666667,4057.0,355A1,-43.323961666666676,volta,0.3704,355A1 - PRAÇA TIRADENTES X MADUREIRA,1.497024941E12
12739,-22.840061666666667,282.0,5700A1,-43.239255,volta,37.0,30 - GALEÃO X ALVORADA ( SEMI - DIRETO),1.511262614E12
86883,-23.004476666666665,106.0,5800A1,-43.56202666666667,ida,59.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.5112629E12
30197,-22.916418333333333,4331.0,000,-43.362204999999996,ida,0.0,SEM SERVIÇO - IDA,1.511262902E12
47520,-23.01049833333333,0.0,0.0,-43.35623833333332,,7.9636000000000005,,1.511262886E12
75588,-22.830848333333332,4054.0,928A1,-43.32410333333334,ida,0.0,928A1 - RAMOS X MARECHAL HERMES (CIRCULAR),1.511262902E12
857054,-22.975298333333335,0.0,0.0,-43.36719166666666,,0.0,,1.503524238E12
22063,-22.918063333333333,237.0,890A1,-43.360966666666656,volta,0.3704,890A1 - TERMINAL ALVORADA X TANQUE,1.511262877E12
44706,-23.00690833333333,3816.0,40,-43.31216666666667,volta,0.0,40 - JARDIM OCEÂNICO X MADUREIRA ( EXPRESSO ),1.511262904E12
816622,-22.975521666666666,0.0,0.0,-43.36712166666667,,0.0,,1.502921367E12
75565,-22.83125,4054.0,928A1,-43.32376166666666,ida,0.0,928A1 - RAMOS X MARECHAL HERMES (CIRCULAR),1.502251054E12
27173,-22.848891666666667,4049.0,42,-43.32245666666667,ida,0.0,42 - FUNDÃO X DIVINA PROVIDÊNCIA (PARADOR),1.511262482E12
75542,-22.830978333333338,4056.0,355A1,-43.323906666666666,ida,0.0,355A1 - MADUREIRA - PRAÇA TIRADENTES,1.496342681E12
86007,-22.99203333333333,210.0,853V1,-43.59859166666667,ida,11.6676,853V1 - VILA KENNEDY X MATO ALTO,1.511262886E12
30526,-22.87959166666667,3542.0,5707A1,-43.356815,ida,1.0,41 - Recreio x Terminal Madureira (Expresso),1.489414018E12
86024,-22.894153333333332,208.0,854B1,-43.533809999999995,ida,0.0,854B1- CAMPO GRANDE X MATO ALTO,1.510748824E12
86840,-22.901835,132.0,5805A1,-43.554586666666665,ida,0.0,17- CAMPO GRANDE X SANTA CRUZ ( PARADOR ),1.510684498E12
30058,-23.016615,4331.0,000,-43.514405,ida,25.1872,SEM SERVIÇO - IDA,1.511262734E12
22022,-22.94843,108.0,5702A1,-43.372618333333335,ida,0.0,35 - MADUREIRA X ALVORADA ( PARADOR ) - ida,1.511262903E12
816527,-22.974928333333335,0.0,0.0,-43.36729666666667,,0.0,,1.503427937E12
39722,-22.81163833333333,0.0,0.0,-43.33187000000001,,0.0,,1.494622377E12
86391,-22.936666666666664,277.0,853A1,-43.57579333333333,volta,14.816,853A1 -MATO ALTO x  VILA KENNEDY,1.511262893E12
22035,-22.95767,4331.0,000,-43.34651,ida,0.5556,SEM SERVIÇO - IDA,1.503668158E12
44602,-22.83992166666667,162.0,721A1,-43.29943,ida,0.926,721A1 - VILA CRUZEIRO XCASCADURA,1.511262908E12
352582,-22.97529833333333,0.0,0.0,-43.36715333333335,,0.0,,1.501524148E12
87568,-22.917505,106.0,5800A1,-43.60784833333334,ida,0.0,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),1.511262708E12
30522,-22.751596666666668,108.0,5702A1,-43.286945,ida,0.0,35 - MADUREIRA X ALVORADA ( PARADOR ) - ida,1.510311748E12
30224,-22.882811666666665,4781.0,LECD23,-43.34047833333334,ida,0.3704,LECD23 (FREGUESIA X MADUREIRA VIA CASCADURA),1.511262858E12
47885,-22.915634999999998,117.0,610A1,-43.36074833333332,volta,0.0,610A1 - DEL CASTILHO X BRT TANQUE,1.5112624E12
87386,-22.96749333333333,284.0,SV870A1,-43.70574333333334,volta,18.7052,SV870A1 - SANTA CRUZ X SEPETIBA ( VIA CROÁCIA ),1.5112629E12
86298,-22.953875,288.0,897A1,-43.6491,volta,14.816,897A1-PINGO D'AGUA X PACIÊNCIA,1.511262881E12
369793,-22.975506666666668,0.0,0.0,-43.367148333333326,,2.0372,,1.506436762E12
87426,-22.918215,238.0,891A1,-43.607861666666665,ida,0.0,891A1 - SEPETIBA X MATO ALTO,1.505192703E12
86283,-22.89379166666667,227.0,855A1,-43.53143,volta,0.5556,855A1 - MAGARÇA X BANGU,1.511262823E12
